mikra,#,city,street,number,block,plot,neighborhood,year,architect,area,current_owner,original_owner,comments,lat,lon
OK,1,חיפה,העצמאות,41,,,,,,,,,,32.8203815,34.9978482
OK,2,חיפה,העצמאות,39,,,,,,,,,,32.81894,34.999718
OK,3,חיפה,הנביאים,13,,,הדר,,,,,,,32.8134331,34.9959577
OK,4,חיפה,שמריהו לוין,2,,,הדר,,,,,,,32.8135555,34.9983168
OK,5,חיפה,חסן שוקרי,10,,,הדר,,,,,,,32.8138407,34.9984416
OK,6,חיפה,נורדאו,2,,,הדר,,,"1,296",פרטית,,,32.8103438,34.9976929
OK,7,חיפה,קיש,33,,,רמת הדר,,,,,,,32.800201,34.9955201
OK,8,חיפה,שיבת ציון,58,,,,,,,,,,32.8132193,35.0024218
OK,9,חיפה,קזינו בת גלים,,,,בת גלים,,,,,,קזינו בת גלים,,
OK,10,חיפה,מרכזית בת גלים,,,,בת גלים,,,,,,מרכזית בת גלים,,
,11,חיפה,,,,,,,,,,,,32.7901839,34.9843539
OK,12,חיפה,החלוץ,24,,,הדר,,,,,,,32.811706,34.998413
OK,13,חיפה,שפירא,8,,,הדר,,,,,,,32.8115123,34.9994444
OK,14,חיפה,סירקין,13,,,הדר,,,,,,,32.810308,34.9997531
OK,15,חיפה,סירקין,19,,,הדר,,,,,,,32.8098568,35.0001936
OK,16,חיפה,יחיאל,12,,,הדר,,,,,,,32.809032,35.0013639
OK,17,חיפה,מעלה השחרור,13,,,,,,,,,,32.8134468,35.0007363
OK,18,חיפה,מעלה השחרור,6,,,,,,,,,,32.8144393,35.0002563
OK,19,חיפה,שיבת ציון,30,,,,,,,,,,32.8146838,35.0008511
OK,20,חיפה,מדרגות הנביאים,3,,,הדר,,,,,,,32.8144256,34.9969852
,21,חיפה,החותרים,7,10825,221,קרית אליעזר,1960,,,,בן ציון דוידי,,32.824643,35.0458078
OK,22,חיפה,העצמאות,23,,,עיר תחתית,,,,,,,32.8178499,35.001295
OK,23,חיפה,,,,,,,,,,,,32.7818626,34.9895191
OK,24,חיפה,בר יהודה,24,,,,,,,,,,32.8015203,35.0128003
,25,חיפה,,,,,,,,,,,,,
OK,26,חיפה,רציף מרגולין,39,,,בת גלים,,,,,,,32.8333221,34.9755379
,27,חיפה,,,,,,,,,,,,,
OK,28,חיפה,אבן סינא,9,,,הדר,,,,,,7 עד 9,32.8136635,34.9975414
OK,29,חיפה,שד' בת גלים,1,,,בת גלים,,,,,,,32.833868,34.9770862
OK,30,חיפה,מדרגות הנביאים,9,,,הדר,,,,,,בית הכנסת הדרת קודש,32.8137863,34.9963177
OK,31,חיפה,חורב,37,10783,81,גבעת דאונס,1960,,,,,,32.781505,34.9902565
OK,32,חיפה,סירקין,33,,,הדר,1940,חיים הארי,,,אלברט ומישל פרעון,,32.8087715,35.0020677
OK,33,חיפה,מעלות הנביאים,3,,,הדר,1912,,,עמידר,משפחת תומא,בית משפחת תומא,,
,34,חיפה,חורב,11,,,,,,,,,,,
,35,חיפה,אחוה,4,,,,,,,,,,,
,36,חיפה,"רד""ק",?,,,המושבה הגרמנית,,,,,,,,
,37,חיפה,הרצל,15,10838,10,הדר,1947,,,,,,,
OK,38,חיפה,הנביאים,32,10857,184,הדר,1950,ד. ישראלי,,,,פינת הרצליה 2,,
,39,חיפה,הנביאים,30,,,הדר,,,,,,קולנוע עצמון,,
OK,40,חיפה,החלוץ,,,,,,,,,,קולנוע רון,,
,41,חיפה,קיבוץ גלויות,27,,,ואדי סאליב,,מקסמיליאן רומאנוב,"3,000",,,קולנוע הדר,,
,42,חיפה,,,,,,,,,,,קולנוע שביט,,
OK,43,חיפה,הפועל,,,,רמת הדר,,,,,,קולנוע תמר,,
,44,חיפה,בוסל,,,,קרית חיים,,,,,,קולנוע היובל,,
,45,חיפה,,,,,,,,,,,קולנוע אורה,,